INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
39	menu-item	File	(103, 114)	(40, 28)	''
40	section		(112, 115)	(22, 27)	'File'
41	static	File	(112, 121)	(22, 14)	'File'
42	menu-item	Edit	(142, 114)	(42, 28)	''
43	section		(151, 115)	(24, 27)	'Edit'
44	static	Edit	(151, 121)	(24, 14)	'Edit'
45	menu-item	View	(183, 114)	(48, 28)	''
46	section		(192, 115)	(30, 27)	'View'
47	static	View	(192, 121)	(30, 14)	'View'
48	menu-item	Run	(230, 114)	(42, 28)	''
49	section		(239, 115)	(24, 27)	'Run'
50	static	Run	(239, 121)	(24, 14)	'Run'
51	menu-item	Kernel	(271, 114)	(58, 28)	''
52	section		(280, 115)	(40, 27)	'Kernel'
53	static	Kernel	(280, 121)	(40, 14)	'Kernel'
54	menu-item	Tabs	(328, 114)	(46, 28)	''
55	section		(337, 115)	(28, 27)	'Tabs'
56	static	Tabs	(337, 121)	(28, 14)	'Tabs'
57	menu-item	Settings	(373, 114)	(67, 28)	''
58	section		(382, 115)	(49, 27)	'Settings'
59	static	Settings	(382, 121)	(49, 14)	'Settings'
60	menu-item	Help	(439, 114)	(47, 28)	''
61	section		(448, 115)	(29, 27)	'Help'
62	static	Help	(448, 121)	(29, 14)	'Help'
63	image		(76, 158)	(20, 20)	''
64	image		(76, 211)	(20, 20)	''
65	image		(76, 264)	(20, 20)	''
66	image		(76, 317)	(20, 20)	''
67	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
68	image		(147, 156)	(16, 17)	''
69	section	New Folder	(199, 154)	(40, 21)	''
70	image		(211, 156)	(16, 17)	''
71	section	Upload Files	(247, 154)	(40, 21)	''
72	image		(259, 156)	(16, 17)	''
73	section	Refresh the file browser.	(295, 154)	(40, 21)	''
74	image		(307, 156)	(16, 17)	''
75	entry	Filter files by name	(115, 191)	(219, 30)	''
76	image		(312, 198)	(16, 16)	''
77	section		(115, 229)	(226, 17)	'/'
78	section	~/Desktop	(115, 228)	(22, 17)	''
79	image		(115, 228)	(20, 17)	''
80	static	/	(137, 229)	(5, 14)	'/'
81	section		(103, 254)	(113, 24)	'Name'
82	static	Name	(115, 258)	(36, 14)	'Name'
83	image		(184, 256)	(20, 20)	''
84	section		(216, 256)	(137, 20)	'Last Modified'
85	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
86	list-item	Name: database.db Size: 2.1 MB Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 279)	(250, 24)	''
87	image		(117, 283)	(16, 16)	''
88	section		(139, 284)	(77, 14)	'database.db'
89	static	database.db	(139, 284)	(73, 14)	'database.db'
90	section	6/24/25, 4:03 AM	(216, 284)	(125, 14)	'8 minutes ago'
91	static	8 minutes ago	(258, 284)	(83, 14)	'8 minutes ago'
92	list-item	Name: notebook.ipynb Size: 1.3 KB Created: 6/24/25, 4:10 AM Modified: 6/24/25, 4:10 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 303)	(250, 24)	''
93	section		(107, 311)	(5, 10)	'●'
94	static	●	(107, 311)	(5, 9)	'●'
95	image		(117, 307)	(16, 16)	''
96	section	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
97	static	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
98	section	6/24/25, 4:10 AM	(216, 308)	(125, 14)	'1 minute ago'
99	static	1 minute ago	(263, 308)	(78, 14)	'1 minute ago'
100	list-item	Name: result.csv Size: 42 B Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 327)	(250, 24)	''
101	image		(117, 331)	(16, 16)	''
102	section		(139, 332)	(77, 14)	'result.csv'
103	static	result.csv	(139, 332)	(57, 14)	'result.csv'
104	section	6/24/25, 4:03 AM	(216, 332)	(125, 14)	'8 minutes ago'
105	static	8 minutes ago	(258, 332)	(83, 14)	'8 minutes ago'
106	image		(369, 153)	(14, 15)	''
107	section		(387, 148)	(164, 25)	'Launcher'
108	static	Launcher	(387, 153)	(55, 14)	'Launcher'
109	section	Close Launcher	(551, 152)	(16, 17)	''
110	image		(551, 152)	(16, 17)	''
111	image		(584, 153)	(14, 15)	''
112	section		(602, 148)	(164, 25)	'notebook.ipynb'
113	static	notebook.ipynb	(602, 153)	(93, 14)	'notebook.ipynb'
114	section	Close notebook.ipynb	(766, 152)	(16, 17)	''
115	image		(766, 152)	(16, 17)	''
116	push-button	New Launcher	(791, 148)	(24, 25)	''
117	image		(795, 152)	(16, 16)	''
118	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
119	image		(369, 180)	(17, 17)	''
120	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
121	image		(398, 180)	(17, 17)	''
122	section	Cut this cell (X)	(425, 178)	(21, 21)	''
123	image		(427, 180)	(17, 17)	''
124	section	Copy this cell (C)	(454, 178)	(21, 21)	''
125	image		(456, 180)	(17, 17)	''
126	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
127	image		(485, 180)	(17, 17)	''
128	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
129	image		(514, 180)	(17, 17)	''
130	section	Interrupt the kernel	(541, 178)	(21, 21)	''
131	image		(543, 180)	(17, 17)	''
132	section	Restart the kernel	(570, 178)	(21, 21)	''
133	image		(572, 180)	(17, 17)	''
134	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
135	image		(601, 180)	(17, 17)	''
136	combo-box	Cell type	(624, 176)	(98, 25)	''
137	menu-item	Markdown	(624, 176)	(98, 25)	'Markdown'
138	image		(699, 180)	(16, 16)	''
139	section	Notebook	(1614, 178)	(83, 21)	''
140	push-button	Notebook	(1614, 178)	(83, 21)	''
141	section		(1616, 178)	(79, 21)	'Notebook'
142	image		(1675, 180)	(20, 17)	''
143	static	Notebook	(1616, 181)	(60, 15)	'Notebook'
144	section	Enable Debugger	(1704, 178)	(21, 21)	''
145	image		(1707, 180)	(17, 17)	''
146	section	Switch kernel	(1733, 178)	(123, 21)	''
147	push-button	No Kernel	(1733, 178)	(123, 21)	''
148	section		(1735, 178)	(119, 21)	'Python 3 (ipykernel)'
149	static	Python 3 (ipykernel)	(1735, 181)	(119, 15)	'Python 3 (ipykernel)'
150	section	Code Cell Content	(371, 166)	(1485, 40)	''
151	section	Code Cell Content with Output	(371, 205)	(1485, 444)	''
152	section		(384, 210)	(64, 356)	'[3]:'
153	static	[3]:	(410, 217)	(32, 15)	'[3]:'
154	section		(449, 215)	(1401, 19)	"query = '''"
155	static	query 	(455, 216)	(47, 15)	'query'
156	static	=	(501, 216)	(9, 15)	'='
157	static	 	(509, 216)	(9, 15)	''
158	static	'''	(517, 216)	(25, 15)	"'''"
159	section		(449, 233)	(1401, 19)	"SELECT a.first_name || ' ' || a.last_name AS actor_name, ON i.inventory_id = r.inventory_id"
160	static	SELECT a.first_name || 	(455, 234)	(181, 16)	'SELECT a.first_name ||'
161	static	' 	(635, 234)	(16, 16)	"'"
162	static	' || a.last_name AS actor_name, ON i.inventory_id = r.inventory_id	(650, 234)	(518, 16)	"' || a.last_name AS actor_name, ON i.inventory_id = r.inventory_id"
163	section		(449, 251)	(1401, 19)	'GROUP BY a.actor_id'
164	static	GROUP BY a.actor_id	(455, 252)	(149, 16)	'GROUP BY a.actor_id'
165	section		(449, 269)	(1401, 19)	'ORDER BY times_rented DESC'
166	static	ORDER BY times_rented DESC	(455, 270)	(204, 16)	'ORDER BY times_rented DESC'
167	section		(449, 288)	(1401, 19)	'LIMIT 10'
168	static	LIMIT 10	(455, 289)	(63, 16)	'LIMIT 10'
169	section		(449, 306)	(1401, 20)	"'''"
170	static	'''	(455, 307)	(24, 16)	"'''"
171	section		(449, 324)	(1401, 19)	'df = pd.read_sql_query(query, conn)'
172	static	df 	(455, 325)	(24, 16)	'df'
173	static	=	(478, 325)	(9, 16)	'='
174	static	 pd	(486, 325)	(24, 16)	'pd'
175	static	.	(509, 325)	(9, 16)	'.'
176	static	read_sql_query	(517, 325)	(111, 16)	'read_sql_query'
177	static	(	(627, 325)	(9, 16)	'('
178	static	query	(635, 325)	(40, 16)	'query'
179	static	,	(674, 325)	(8, 16)	','
180	static	 conn	(682, 325)	(40, 16)	'conn'
181	static	)	(721, 325)	(8, 16)	')'
182	section		(449, 342)	(1401, 19)	'df'
183	static	df	(455, 343)	(16, 16)	'df'
184	section		(449, 360)	(1401, 19)	'COUNT(r.rental_id) AS times_rented'
185	static	       COUNT	(455, 361)	(94, 16)	'COUNT'
186	static	(	(548, 361)	(9, 16)	'('
187	static	r	(556, 361)	(9, 16)	'r'
188	static	.	(564, 361)	(9, 16)	'.'
189	static	rental_id	(572, 361)	(71, 16)	'rental_id'
190	static	)	(642, 361)	(9, 16)	')'
191	static	 AS times_rented	(650, 361)	(126, 16)	'AS times_rented'
192	section		(449, 379)	(1401, 19)	'FROM actor a'
193	static	       FROM actor a	(455, 380)	(149, 16)	'FROM actor a'
194	section		(449, 397)	(1401, 20)	'JOIN film_actor fa ON a.actor_id = fa.actor_id'
195	static	       JOIN film_actor fa ON a	(455, 398)	(235, 16)	'JOIN film_actor fa ON a'
196	static	.	(689, 398)	(9, 16)	'.'
197	static	actor_id	(697, 398)	(64, 16)	'actor_id'
198	static	 	(760, 398)	(9, 16)	''
199	static	=	(768, 398)	(8, 16)	'='
200	static	 fa	(775, 398)	(25, 16)	'fa'
201	static	.	(799, 398)	(9, 16)	'.'
202	static	actor_id	(807, 398)	(63, 16)	'actor_id'
203	section		(449, 415)	(1401, 19)	'JOIN inventory i ON fa.film_id = i.film_id'
204	static	       JOIN inventory i ON fa	(455, 416)	(227, 16)	'JOIN inventory i ON fa'
205	static	.	(681, 416)	(9, 16)	'.'
206	static	film_id	(689, 416)	(56, 16[...]
