INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
40	section		(112, 115)	(22, 27)	'File'
41	static	File	(112, 121)	(22, 14)	'File'
42	menu-item	Edit	(142, 114)	(42, 28)	''
43	section		(151, 115)	(24, 27)	'Edit'
44	static	Edit	(151, 121)	(24, 14)	'Edit'
45	menu-item	View	(183, 114)	(48, 28)	''
46	section		(192, 115)	(30, 27)	'View'
47	static	View	(192, 121)	(30, 14)	'View'
48	menu-item	Run	(230, 114)	(42, 28)	''
49	section		(239, 115)	(24, 27)	'Run'
50	static	Run	(239, 121)	(24, 14)	'Run'
51	menu-item	Kernel	(271, 114)	(58, 28)	''
52	section		(280, 115)	(40, 27)	'Kernel'
53	static	Kernel	(280, 121)	(40, 14)	'Kernel'
54	menu-item	Tabs	(328, 114)	(46, 28)	''
55	section		(337, 115)	(28, 27)	'Tabs'
56	static	Tabs	(337, 121)	(28, 14)	'Tabs'
57	menu-item	Settings	(373, 114)	(67, 28)	''
58	section		(382, 115)	(49, 27)	'Settings'
59	static	Settings	(382, 121)	(49, 14)	'Settings'
60	menu-item	Help	(439, 114)	(47, 28)	''
61	section		(448, 115)	(29, 27)	'Help'
62	static	Help	(448, 121)	(29, 14)	'Help'
63	image		(76, 158)	(20, 20)	''
64	image		(76, 211)	(20, 20)	''
65	image		(76, 264)	(20, 20)	''
66	image		(76, 317)	(20, 20)	''
67	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
68	image		(147, 156)	(16, 17)	''
69	section	New Folder	(199, 154)	(40, 21)	''
70	image		(211, 156)	(16, 17)	''
71	section	Upload Files	(247, 154)	(40, 21)	''
72	image		(259, 156)	(16, 17)	''
73	section	Refresh the file browser.	(295, 154)	(40, 21)	''
74	image		(307, 156)	(16, 17)	''
75	entry	Filter files by name	(115, 191)	(219, 30)	''
76	image		(312, 198)	(16, 16)	''
77	section		(115, 229)	(226, 17)	'/'
78	section	~/Desktop	(115, 228)	(22, 17)	''
79	image		(115, 228)	(20, 17)	''
80	static	/	(137, 229)	(5, 14)	'/'
81	section		(103, 254)	(113, 24)	'Name'
82	static	Name	(115, 258)	(36, 14)	'Name'
83	image		(184, 256)	(20, 20)	''
84	section		(216, 256)	(137, 20)	'Last Modified'
85	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
86	list-item	Name: database.db Size: 2.1 MB Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 279)	(250, 24)	''
87	image		(117, 283)	(16, 16)	''
88	section		(139, 284)	(77, 14)	'database.db'
89	static	database.db	(139, 284)	(73, 14)	'database.db'
90	section	6/24/25, 4:03 AM	(216, 284)	(125, 14)	'2 minutes ago'
91	static	2 minutes ago	(258, 284)	(83, 14)	'2 minutes ago'
92	list-item	Name: notebook.ipynb Size: 606 B Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 303)	(250, 24)	''
93	image		(117, 307)	(16, 16)	''
94	section	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
95	static	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
96	section	6/24/25, 4:03 AM	(216, 308)	(125, 14)	'2 minutes ago'
97	static	2 minutes ago	(258, 308)	(83, 14)	'2 minutes ago'
98	list-item	Name: result.csv Size: 42 B Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 327)	(250, 24)	''
99	image		(117, 331)	(16, 16)	''
100	section		(139, 332)	(77, 14)	'result.csv'
101	static	result.csv	(139, 332)	(57, 14)	'result.csv'
102	section	6/24/25, 4:03 AM	(216, 332)	(125, 14)	'2 minutes ago'
103	static	2 minutes ago	(258, 332)	(83, 14)	'2 minutes ago'
104	image		(369, 153)	(14, 15)	''
105	section		(387, 148)	(180, 25)	'Launcher'
106	static	Launcher	(387, 153)	(55, 14)	'Launcher'
107	push-button	New Launcher	(576, 148)	(24, 25)	''
108	image		(580, 152)	(16, 16)	''
109	image		(512, 218)	(32, 33)	''
110	heading	Notebook	(556, 225)	(72, 19)	'Notebook'
111	static	Notebook	(556, 225)	(72, 19)	'Notebook'
112	section	Python 3 (ipykernel) Python 3 (ipykernel)	(515, 273)	(102, 103)	''
113	image	Python 3 (ipykernel)	(539, 282)	(53, 53)	''
114	section	Python 3 (ipykernel)	(516, 342)	(100, 33)	''
115	paragraph		(520, 342)	(92, 26)	'Python 3 (ipykernel)'
116	static	Python 3 (ipykernel)	(537, 341)	(58, 26)	'Python 3 (ipykernel)'
117	image		(512, 401)	(32, 33)	''
118	heading	Console	(556, 408)	(57, 19)	'Console'
119	static	Console	(556, 408)	(57, 19)	'Console'
120	section	Python 3 (ipykernel) Python 3 (ipykernel)	(515, 456)	(102, 103)	''
121	image	Python 3 (ipykernel)	(539, 465)	(53, 53)	''
122	section	Python 3 (ipykernel)	(516, 525)	(100, 33)	''
123	paragraph		(520, 525)	(92, 26)	'Python 3 (ipykernel)'
124	static	Python 3 (ipykernel)	(537, 524)	(58, 26)	'Python 3 (ipykernel)'
125	image		(512, 584)	(32, 33)	''
126	heading	Other	(556, 591)	(43, 19)	'Other'
127	static	Other	(556, 591)	(43, 19)	'Other'
128	section	Terminal	(515, 639)	(102, 103)	''
129	image		(539, 648)	(53, 53)	''
130	section	Start a new terminal session	(516, 708)	(100, 33)	''
131	paragraph		(520, 708)	(92, 26)	'Terminal'
132	static	Terminal	(542, 707)	(48, 13)	'Terminal'
133	section	Text File	(632, 639)	(103, 103)	''
134	image		(657, 648)	(53, 53)	''
135	section	Create a new text file	(633, 708)	(101, 33)	''
136	paragraph		(637, 708)	(92, 26)	'Text File'
137	static	Text File	(660, 707)	(46, 13)	'Text File'
138	section	Markdown File	(750, 639)	(103, 103)	''
139	image		(775, 648)	(53, 53)	''
140	section	Create a new markdown file	(751, 708)	(101, 33)	''
141	paragraph		(755, 708)	(92, 26)	'Markdown File'
142	static	Markdown File	(762, 707)	(80, 13)	'Markdown File'
143	section	Python File	(868, 639)	(103, 103)	''
144	image		(893, 648)	(53, 53)	''
145	section	Create a new Python file	(869, 708)	(101, 33)	''
146	paragraph		(873, 708)	(92, 26)	'Python File'
147	static	Python File	(889, 707)	(62, 13)	'Python File'
148	section	Show Contextual Help	(986, 639)	(103, 103)	''
149	image		(1011, 648)	(53, 53)	''
150	section	Live updating code documentation from the active kernel	(987, 708)	(101, 33)	''
151	paragraph		(991, 708)	(92, 26)	'Show Contextual Help'
152	static	Show Contextual Help	(993, 707)	(90, 26)	'Show Contextual Help'
153	image		(1894, 158)	(20, 20)	''
154	image		(1894, 211)	(20, 20)	''
155	toggle-button	Simple	(94, 1058)	(88, 20)	''
156	label	Simple Interface (Ctrl+Shift+D)	(98, 1061)	(40, 14)	'Simple'
157	static	Simple	(98, 1061)	(40, 14)	'Simple'
158	section	0 0	(203, 1056)	(79, 24)	''
159	section		(203, 1056)	(8, 24)	'0'
160	static	0	(203, 1061)	(8, 14)	'0'
161	image		(220, 1061)	(21, 18)	''
162	section		(247, 1056)	(8, 24)	'0'
163	static	0	(247, 1061)	(8, 14)	'0'
164	image		(262, 1060)	(21, 18)	''
165	section	1 notification	(1866, 1056)	(36, 24)	''
166	section		(1866, 1056)	(8, 24)	'1'
167	static	1	(1866, 1061)	(8, 14)	'1'
168	image		(1882, 1060)	(21, 18)	''
169	section		(1790, 1056)	(67, 24)	'Launcher'
170	static	Launcher	(1796, 1061)	(55, 14)	'Launcher'
171	section		(1596, 975)	(297, 28)	'Would you like to receive official Jupyter news?\nPlease read the privacy policy.'
172	static	Would you like to receive official Jupyter news?	(1596, 975)	(279, 14)	'Would you like to receive official Jupyter news?'
173	static	Please read the privacy policy.	(1596, 989)	(178, 14)	'Please read the privacy policy.'
174	push-button	Open privacy policy	(1705, 1012)	(120, 24)	'Open privacy policy'
175	push-button	Yes	(1827, 1012)	(34, 24)	'Yes'
176	push-button	No	(1863, 1012)	(30, 24)	'No'
177	push-button	Hide notification	(1872, 969)	(31, 30)	''
178	image		(1879, 974)	(16, 17)	''
