INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
39	menu-item	File	(103, 114)	(40, 28)	''
40	section		(112, 115)	(22, 27)	'File'
41	static	File	(112, 121)	(22, 14)	'File'
42	menu-item	Edit	(142, 114)	(42, 28)	''
43	section		(151, 115)	(24, 27)	'Edit'
44	static	Edit	(151, 121)	(24, 14)	'Edit'
45	menu-item	View	(183, 114)	(48, 28)	''
46	section		(192, 115)	(30, 27)	'View'
47	static	View	(192, 121)	(30, 14)	'View'
48	menu-item	Run	(230, 114)	(42, 28)	''
49	section		(239, 115)	(24, 27)	'Run'
50	static	Run	(239, 121)	(24, 14)	'Run'
51	menu-item	Kernel	(271, 114)	(58, 28)	''
52	section		(280, 115)	(40, 27)	'Kernel'
53	static	Kernel	(280, 121)	(40, 14)	'Kernel'
54	menu-item	Tabs	(328, 114)	(46, 28)	''
55	section		(337, 115)	(28, 27)	'Tabs'
56	static	Tabs	(337, 121)	(28, 14)	'Tabs'
57	menu-item	Settings	(373, 114)	(67, 28)	''
58	section		(382, 115)	(49, 27)	'Settings'
59	static	Settings	(382, 121)	(49, 14)	'Settings'
60	menu-item	Help	(439, 114)	(47, 28)	''
61	section		(448, 115)	(29, 27)	'Help'
62	static	Help	(448, 121)	(29, 14)	'Help'
63	image		(76, 158)	(20, 20)	''
64	image		(76, 211)	(20, 20)	''
65	image		(76, 264)	(20, 20)	''
66	image		(76, 317)	(20, 20)	''
67	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
68	image		(147, 156)	(16, 17)	''
69	section	New Folder	(199, 154)	(40, 21)	''
70	image		(211, 156)	(16, 17)	''
71	section	Upload Files	(247, 154)	(40, 21)	''
72	image		(259, 156)	(16, 17)	''
73	section	Refresh the file browser.	(295, 154)	(40, 21)	''
74	image		(307, 156)	(16, 17)	''
75	entry	Filter files by name	(115, 191)	(219, 30)	''
76	image		(312, 198)	(16, 16)	''
77	section		(115, 229)	(226, 17)	'/'
78	section	~/Desktop	(115, 228)	(22, 17)	''
79	image		(115, 228)	(20, 17)	''
80	static	/	(137, 229)	(5, 14)	'/'
81	section		(103, 254)	(113, 24)	'Name'
82	static	Name	(115, 258)	(36, 14)	'Name'
83	image		(184, 256)	(20, 20)	''
84	section		(216, 256)	(137, 20)	'Last Modified'
85	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
86	list-item	Name: database.db Size: 2.1 MB Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 279)	(250, 24)	''
87	image		(117, 283)	(16, 16)	''
88	section		(139, 284)	(77, 14)	'database.db'
89	static	database.db	(139, 284)	(73, 14)	'database.db'
90	section	6/24/25, 4:03 AM	(216, 284)	(125, 14)	'6 minutes ago'
91	static	6 minutes ago	(258, 284)	(83, 14)	'6 minutes ago'
92	list-item	Name: notebook.ipynb Size: 733 B Created: 6/24/25, 4:08 AM Modified: 6/24/25, 4:08 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 303)	(250, 24)	''
93	section		(107, 311)	(5, 10)	'●'
94	static	●	(107, 311)	(5, 9)	'●'
95	image		(117, 307)	(16, 16)	''
96	section	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
97	static	notebook.ipynb	(139, 308)	(77, 14)	'notebook.ipynb'
98	section	6/24/25, 4:08 AM	(216, 308)	(125, 14)	'1 minute ago'
99	static	1 minute ago	(263, 308)	(78, 14)	'1 minute ago'
100	list-item	Name: result.csv Size: 42 B Created: 6/24/25, 4:03 AM Modified: 6/24/25, 4:03 AM Writable: true	(103, 327)	(250, 24)	''
101	image		(117, 331)	(16, 16)	''
102	section		(139, 332)	(77, 14)	'result.csv'
103	static	result.csv	(139, 332)	(57, 14)	'result.csv'
104	section	6/24/25, 4:03 AM	(216, 332)	(125, 14)	'6 minutes ago'
105	static	6 minutes ago	(258, 332)	(83, 14)	'6 minutes ago'
106	image		(369, 153)	(14, 15)	''
107	section		(387, 148)	(164, 25)	'Launcher'
108	static	Launcher	(387, 153)	(55, 14)	'Launcher'
109	section	Close Launcher	(551, 152)	(16, 17)	''
110	image		(551, 152)	(16, 17)	''
111	image		(584, 153)	(14, 15)	''
112	section		(602, 148)	(164, 25)	'notebook.ipynb'
113	static	notebook.ipynb	(602, 153)	(93, 14)	'notebook.ipynb'
114	section	Close notebook.ipynb	(766, 152)	(16, 17)	''
115	image		(766, 152)	(16, 17)	''
116	push-button	New Launcher	(791, 148)	(24, 25)	''
117	image		(795, 152)	(16, 16)	''
118	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
119	image		(369, 180)	(17, 17)	''
120	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
121	image		(398, 180)	(17, 17)	''
122	section	Cut this cell (X)	(425, 178)	(21, 21)	''
123	image		(427, 180)	(17, 17)	''
124	section	Copy this cell (C)	(454, 178)	(21, 21)	''
125	image		(456, 180)	(17, 17)	''
126	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
127	image		(485, 180)	(17, 17)	''
128	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
129	image		(514, 180)	(17, 17)	''
130	section	Interrupt the kernel	(541, 178)	(21, 21)	''
131	image		(543, 180)	(17, 17)	''
132	section	Restart the kernel	(570, 178)	(21, 21)	''
133	image		(572, 180)	(17, 17)	''
134	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
135	image		(601, 180)	(17, 17)	''
136	combo-box	Cell type	(624, 176)	(98, 25)	''
137	menu-item	Code	(624, 176)	(98, 25)	'Code'
138	image		(699, 180)	(16, 16)	''
139	section	Notebook	(1614, 178)	(83, 21)	''
140	push-button	Notebook	(1614, 178)	(83, 21)	''
141	section		(1616, 178)	(79, 21)	'Notebook'
142	image		(1675, 180)	(20, 17)	''
143	static	Notebook	(1616, 181)	(60, 15)	'Notebook'
144	section	Enable Debugger	(1704, 178)	(21, 21)	''
145	image		(1707, 180)	(17, 17)	''
146	section	Switch kernel	(1733, 178)	(123, 21)	''
147	push-button	No Kernel	(1733, 178)	(123, 21)	''
148	section		(1735, 178)	(119, 21)	'Python 3 (ipykernel)'
149	static	Python 3 (ipykernel)	(1735, 181)	(119, 15)	'Python 3 (ipykernel)'
150	section	Code Cell Content	(371, 215)	(1485, 57)	''
151	section		(384, 220)	(64, 47)	'[7]:'
152	static	[7]:	(410, 227)	(32, 15)	'[7]:'
153	section		(449, 225)	(1401, 19)	'import pandas as pd'
154	static	import	(455, 226)	(47, 15)	'import'
155	static	 pandas 	(501, 226)	(64, 15)	'pandas'
156	static	as	(564, 226)	(17, 15)	'as'
157	static	 pd	(580, 226)	(24, 15)	'pd'
158	section		(449, 243)	(1401, 19)	'import sqlite3'
159	static	import	(455, 244)	(47, 16)	'import'
160	static	 sqlite3	(501, 244)	(64, 16)	'sqlite3'
161	section	Code Cell Content with Output	(371, 271)	(1485, 408)	''
162	section		(384, 276)	(64, 320)	'[1]:'
163	static	[1]:	(410, 283)	(32, 15)	'[1]:'
164	section		(449, 281)	(1401, 19)	"conn = sqlite3.connect('database.db')GROUP BY a.actor_id"
165	static	conn 	(455, 282)	(40, 15)	'conn'
166	static	=	(494, 282)	(8, 15)	'='
167	static	 sqlite3	(501, 282)	(64, 15)	'sqlite3'
168	static	.	(564, 282)	(9, 15)	'.'
169	static	connect	(572, 282)	(56, 15)	'connect'
170	static	(	(627, 282)	(9, 15)	'('
171	static	'database.db'	(635, 282)	(102, 15)	"'database.db'"
172	static	)	(736, 282)	(9, 15)	')'
173	static	GROUP BY a	(744, 282)	(79, 15)	'GROUP BY a'
174	static	.	(822, 282)	(9, 15)	'.'
175	static	actor_id	(830, 282)	(64, 15)	'actor_id'
176	section		(449, 299)	(1401, 19)	'ORDER BY times_rented DESC'
177	static	ORDER BY times_rented DESC	(455, 300)	(204, 16)	'ORDER BY times_rented DESC'
178	section		(449, 317)	(1401, 19)	'LIMIT 10'
179	static	LIMIT 	(455, 318)	(47, 16)	'LIMIT'
180	static	10	(501, 318)	(17, 16)	'10'
181	section		(449, 335)	(1401, 19)	'""", conn)'
182	static	""", conn)	(455, 336)	(79, 16)	'""", conn)'
183	section		(449, 354)	(1401, 19)	'df'
184	static	df	(455, 355)	(16, 16)	'df'
185	section		(449, 372)	(1401, 20)	'df = pd.read_sql_query("""'
186	static	df = pd.read_sql_query("""	(455, 373)	(204, 16)	'df = pd.read_sql_query("""'
187	section		(449, 390)	(1401, 19)	"SELECT a.first_name || ' ' || a.last_name AS actor_name,"
188	static	SELECT a	(455, 391)	(63, 16)	'SELECT a'
189	static	.	(517, 391)	(9, 16)	'.'
190	static	first_name	(525, 391)	(79, 16)	'first_name'
191	static	 	(603, 391)	(9, 16)	''
192	static	|	(611, 391)	(9, 16)	'|'
193	static	|	(619, 391)	(9, 16)	'|'
194	static	 	(627, 391)	(9, 16)	''
195	static	' '	(635, 391)	(24, 16)	"' '"
196	static	 	(658, 391)	(9, 16)	''
197	static	|	(666, 391)	(9, 16)	'|'
198	static	|	(674, 391)	(9, 16)	'|'
199	static	 a	(682, 391)	(16, 16)	'a'
200	static	.	(697, 391)	(9, 16)	'.'
201	static	last_name	(705, 391)	(71, 16)	'last_name'
202	static	 AS actor_name	(775, 391)	(111, 16)	'AS actor_name'
203	static	,	(885, 391)	(9, 16)	','
204	section		(449, 408)	(1401, 19)	'COUNT(r.rental_id) AS times_rented'
205	static	       COUNT	(455, 409)	(94, 16)	'COUNT'
206	static	(	(548, 409)	(9, 16)	'('
207	static	r	(556, 409)	(9, 16)	'r'
208	static	.	(564, 409)	(9, 16)	'.'
209	static	rental_id	(572, 409)	(71, 16)	'rental_id'
210	static	)	([...]
