INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
39	static	File	(112, 121)	(22, 14)	'File'
40	menu-item	Edit	(142, 114)	(42, 28)	''
41	section		(151, 115)	(24, 27)	'Edit'
42	static	Edit	(151, 121)	(24, 14)	'Edit'
43	menu-item	View	(183, 114)	(48, 28)	''
44	section		(192, 115)	(30, 27)	'View'
45	static	View	(192, 121)	(30, 14)	'View'
46	menu-item	Run	(230, 114)	(42, 28)	''
47	section		(239, 115)	(24, 27)	'Run'
48	static	Run	(239, 121)	(24, 14)	'Run'
49	menu-item	Kernel	(271, 114)	(58, 28)	''
50	section		(280, 115)	(40, 27)	'Kernel'
51	static	Kernel	(280, 121)	(40, 14)	'Kernel'
52	menu-item	Tabs	(328, 114)	(46, 28)	''
53	section		(337, 115)	(28, 27)	'Tabs'
54	static	Tabs	(337, 121)	(28, 14)	'Tabs'
55	menu-item	Settings	(373, 114)	(67, 28)	''
56	section		(382, 115)	(49, 27)	'Settings'
57	static	Settings	(382, 121)	(49, 14)	'Settings'
58	menu-item	Help	(439, 114)	(47, 28)	''
59	section		(448, 115)	(29, 27)	'Help'
60	static	Help	(448, 121)	(29, 14)	'Help'
61	image		(76, 158)	(20, 20)	''
62	image		(76, 211)	(20, 20)	''
63	image		(76, 264)	(20, 20)	''
64	image		(76, 317)	(20, 20)	''
65	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
66	image		(147, 156)	(16, 17)	''
67	section	New Folder	(199, 154)	(40, 21)	''
68	image		(211, 156)	(16, 17)	''
69	section	Upload Files	(247, 154)	(40, 21)	''
70	image		(259, 156)	(16, 17)	''
71	section	Refresh the file browser.	(295, 154)	(40, 21)	''
72	image		(307, 156)	(16, 17)	''
73	entry	Filter files by name	(115, 191)	(219, 30)	''
74	image		(312, 198)	(16, 16)	''
75	section		(115, 229)	(226, 17)	'/'
76	section	~/Desktop	(115, 228)	(22, 17)	''
77	image		(115, 228)	(20, 17)	''
78	static	/	(137, 229)	(5, 14)	'/'
79	section		(103, 254)	(113, 24)	'Name'
80	static	Name	(115, 258)	(36, 14)	'Name'
81	image		(184, 256)	(20, 20)	''
82	section		(216, 256)	(137, 20)	'Last Modified'
83	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
84	list-item	Name: data.csv Size: 3.7 KB Created: 6/24/25, 3:48 AM Modified: 6/24/25, 3:48 AM Writable: true	(103, 279)	(250, 24)	''
85	image		(117, 283)	(16, 16)	''
86	section	data.csv	(139, 284)	(77, 14)	'data.csv'
87	static	data.csv	(139, 284)	(49, 14)	'data.csv'
88	section	6/24/25, 3:48 AM	(216, 284)	(125, 14)	'5 minutes ago'
89	static	5 minutes ago	(258, 284)	(83, 14)	'5 minutes ago'
90	list-item	Name: logistic_regression.ipynb Size: 6.3 KB Created: 6/24/25, 3:53 AM Modified: 6/24/25, 3:53 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 303)	(250, 24)	''
91	section		(107, 311)	(5, 10)	'●'
92	static	●	(107, 311)	(5, 9)	'●'
93	image		(117, 307)	(16, 16)	''
94	section		(139, 308)	(77, 14)	'logistic_regression.ipynb'
95	static	logistic_regression.ipynb	(139, 308)	(75, 14)	'logistic_regression.ipynb'
96	section	6/24/25, 3:53 AM	(216, 308)	(125, 14)	'1 minute ago'
97	static	1 minute ago	(263, 308)	(78, 14)	'1 minute ago'
98	image		(369, 153)	(14, 15)	''
99	section		(387, 148)	(164, 25)	'logistic_regression.ipynb'
100	static	logistic_regression.ipynb	(387, 153)	(147, 14)	'logistic_regression.ipynb'
101	section	Close logistic_regression.ipynb	(551, 152)	(16, 17)	''
102	image		(551, 152)	(16, 17)	''
103	push-button	New Launcher	(576, 148)	(24, 25)	''
104	image		(580, 152)	(16, 16)	''
105	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
106	image		(369, 180)	(17, 17)	''
107	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
108	image		(398, 180)	(17, 17)	''
109	section	Cut this cell (X)	(425, 178)	(21, 21)	''
110	image		(427, 180)	(17, 17)	''
111	section	Copy this cell (C)	(454, 178)	(21, 21)	''
112	image		(456, 180)	(17, 17)	''
113	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
114	image		(485, 180)	(17, 17)	''
115	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
116	image		(514, 180)	(17, 17)	''
117	section	Interrupt the kernel	(541, 178)	(21, 21)	''
118	image		(543, 180)	(17, 17)	''
119	section	Restart the kernel	(570, 178)	(21, 21)	''
120	image		(572, 180)	(17, 17)	''
121	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
122	image		(601, 180)	(17, 17)	''
123	combo-box	Cell type	(624, 176)	(98, 25)	''
124	menu-item	Markdown	(624, 176)	(98, 25)	'Markdown'
125	image		(699, 180)	(16, 16)	''
126	section	Notebook	(1614, 178)	(83, 21)	''
127	push-button	Notebook	(1614, 178)	(83, 21)	''
128	section		(1616, 178)	(79, 21)	'Notebook'
129	image		(1675, 180)	(20, 17)	''
130	static	Notebook	(1616, 181)	(60, 15)	'Notebook'
131	section	Enable Debugger	(1704, 178)	(21, 21)	''
132	image		(1707, 180)	(17, 17)	''
133	section	Switch kernel	(1733, 178)	(123, 21)	''
134	push-button	Python 3 (ipykernel)	(1733, 178)	(123, 21)	''
135	section		(1735, 178)	(119, 21)	'Python 3 (ipykernel)'
136	static	Python 3 (ipykernel)	(1735, 181)	(119, 15)	'Python 3 (ipykernel)'
137	section	Markdown Cell Content	(371, 215)	(1485, 134)	''
138	heading	Logistic Regression	(454, 238)	(1376, 30)	'Logistic Regression'
139	static	Logistic Regression	(454, 236)	(261, 33)	'Logistic Regression'
140	paragraph		(454, 290)	(1376, 46)	'Constructing a model to predict whether or not a particular student will be admitted to a university, you have the results of two test scores and the final admissions of students who have previously applied, requiring you to construct a classification model to assess admissions.'
141	static	Constructing a model to predict whether or not a particular student will be admitted to a university, you have the results of two test scores and the final admissions of students who have previously applied, requiring you to construct a classification model to assess admissions.	(454, 293)	(1357, 40)	'Constructing a model to predict whether or not a particular student will be admitted to a university, you have the results of two test scores and the final admissions of students who have previously applied, requiring you to construct a classification model to assess admissions.'
142	section	Markdown Cell Content	(371, 348)	(1485, 61)	''
143	heading	Load Data	(454, 368)	(1376, 25)	'Load Data'
144	static	Load Data	(454, 366)	(114, 29)	'Load Data'
145	section	Code Cell Content	(371, 408)	(1485, 94)	''
146	section		(384, 413)	(64, 83)	'[ ]:'
147	static	[ ]:	(410, 420)	(32, 15)	'[ ]:'
148	section		(449, 418)	(1401, 19)	'import numpy as np'
149	static	import	(455, 419)	(47, 15)	'import'
150	static	 numpy 	(501, 419)	(56, 15)	'numpy'
151	static	as	(556, 419)	(17, 15)	'as'
152	static	 np	(572, 419)	(24, 15)	'np'
153	section		(449, 436)	(1401, 19)	'import pandas as pd'
154	static	import	(455, 437)	(47, 16)	'import'
155	static	 pandas 	(501, 437)	(64, 16)	'pandas'
156	static	as	(564, 437)	(17, 16)	'as'
157	static	 pd	(580, 437)	(24, 16)	'pd'
158	section		(449, 455)	(1401, 19)	'import matplotlib.pyplot as plt'
159	static	import	(455, 456)	(47, 16)	'import'
160	static	 matplotlib	(501, 456)	(88, 16)	'matplotlib'
161	static	.	(588, 456)	(8, 16)	'.'
162	static	pyplot 	(595, 456)	(56, 16)	'pyplot'
163	static	as	(650, 456)	(17, 16)	'as'
164	static	 plt	(666, 456)	(32, 16)	'plt'
165	section		(449, 473)	(1401, 19)	'np.set_printoptions(precision=3)'
166	static	np	(455, 474)	(16, 16)	'np'
167	static	.	(470, 474)	(9, 16)	'.'
168	static	set_printoptions	(478, 474)	(126, 16)	'set_printoptions'
169	static	(	(603, 474)	(9, 16)	'('
170	static	precision	(611, 474)	(71, 16)	'precision'
171	static	=	(682, 474)	(8, 16)	'='
172	static	3	(689, 474)	(9, 16)	'3'
173	static	)	(697, 474)	(9, 16)	')'
174	section	Code Cell Content	(371, 501)	(1485, 72)	''
175	section		(384, 506)	(64, 62)	'[1]:'
176	static	[1]:	(410, 513)	(32, 15)	'[1]:'
177	section		(449, 511)	(1425, 19)	"path = 'data.csv'"
178	static	path 	(455, 512)	(40, 15)	'path'
179	static	=	(494, 512)	(8, 15)	'='
180	static	 	(501, 512)	(9, 15)	''
181	static	'data.csv'	(509, 512)	(80, 15)	"'data.csv'"
182	section		(449, 529)	(1425, 19)	'# TODO: Load data from file given by path with names=[\'Exam1\', \'Exam2\', \'Admitted\'] to thdata = pd.read_csv(path, header=None, names=[\'Exam1\', \'Exam2\', \'Admitted\'])e variable "data"'
183	static	# TODO: Load data from file given by path with names=['Exam1', 'Exam2', 'Admitted'] to thdata = pd.read_csv(path, header=None, names=['Exam1', 'Exam2', 'Admitted'])e variable "data"	(455, 530)	(1417, 16)	'# TODO: Load data from file given by path with names=[\'Exam1\', \'Exam2\', \'Admitted\'] to thdata = pd.read_csv(path, header=None, names=[\'Exam1\', \'Exam2\', \'Admitted\'])e variable "data"'
184	section	Markdown Cell Content	(371, 572)	(1485, 62)	''
185	section	Create a duplicate of this cell below	(1678, 581)	(21, 21)	''
186	image		(1680, 584)	(17, 17)	''
187	section	Move this cell up (Ctrl+Shift+Up)	(1707, 581)	(21, 21)	''
188	image		(1709, 584)	(17, 17)	''
189	section	Move this cell down (Ctrl+Shift+Down)	(1736, 581)	(21, 21)	''
190	image		(1738, 584)	(17, 17)	''
191	section	Insert a cell above (A)	(1765, 581)	(21, 21)	''
192	image		(1767, 584)	(17, 17)	''
193	section	Insert a cell below (B)	(1794, 581)	(21, 21)	''
194	image		(1796, 584)	(17, 17)	''
195	section	Delete this cell (D, D)	(1823, 581)	(21, 21)	''
196	image		(1825, 584)	(17, 17)	''
197	heading	Sigmoid Function	(454, 593)	(1376, 25)	'Sigmoid Function'
198	static	Sigmoid Function	(454, 591)	(194,[...]
