INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
42	section		(192, 115)	(30, 27)	'View'
43	static	View	(192, 121)	(30, 14)	'View'
44	menu-item	Run	(230, 114)	(42, 28)	''
45	section		(239, 115)	(24, 27)	'Run'
46	static	Run	(239, 121)	(24, 14)	'Run'
47	menu-item	Kernel	(271, 114)	(58, 28)	''
48	section		(280, 115)	(40, 27)	'Kernel'
49	static	Kernel	(280, 121)	(40, 14)	'Kernel'
50	menu-item	Tabs	(328, 114)	(46, 28)	''
51	section		(337, 115)	(28, 27)	'Tabs'
52	static	Tabs	(337, 121)	(28, 14)	'Tabs'
53	menu-item	Settings	(373, 114)	(67, 28)	''
54	section		(382, 115)	(49, 27)	'Settings'
55	static	Settings	(382, 121)	(49, 14)	'Settings'
56	menu-item	Help	(439, 114)	(47, 28)	''
57	section		(448, 115)	(29, 27)	'Help'
58	static	Help	(448, 121)	(29, 14)	'Help'
59	image		(76, 158)	(20, 20)	''
60	image		(76, 211)	(20, 20)	''
61	image		(76, 264)	(20, 20)	''
62	image		(76, 317)	(20, 20)	''
63	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
64	image		(147, 156)	(16, 17)	''
65	section	New Folder	(199, 154)	(40, 21)	''
66	image		(211, 156)	(16, 17)	''
67	section	Upload Files	(247, 154)	(40, 21)	''
68	image		(259, 156)	(16, 17)	''
69	section	Refresh the file browser.	(295, 154)	(40, 21)	''
70	image		(307, 156)	(16, 17)	''
71	entry	Filter files by name	(115, 191)	(219, 30)	''
72	image		(312, 198)	(16, 16)	''
73	section		(115, 229)	(226, 17)	'/'
74	section	~/Desktop	(115, 228)	(22, 17)	''
75	image		(115, 228)	(20, 17)	''
76	static	/	(137, 229)	(5, 14)	'/'
77	section		(103, 254)	(113, 24)	'Name'
78	static	Name	(115, 258)	(36, 14)	'Name'
79	image		(184, 256)	(20, 20)	''
80	section		(216, 256)	(137, 20)	'Last Modified'
81	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
82	list-item	Name: AdaBoost.ipynb Size: 2.6 KB Created: 6/24/25, 4:21 AM Modified: 6/24/25, 4:21 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 279)	(250, 24)	''
83	section		(107, 287)	(5, 10)	'●'
84	static	●	(107, 287)	(5, 9)	'●'
85	image		(117, 283)	(16, 16)	''
86	section	AdaBoost.ipynb	(139, 284)	(77, 14)	'AdaBoost.ipynb'
87	static	AdaBoost.ipynb	(139, 284)	(74, 14)	'AdaBoost.ipynb'
88	section	6/24/25, 4:21 AM	(216, 284)	(125, 14)	'1 minute ago'
89	static	1 minute ago	(263, 284)	(78, 14)	'1 minute ago'
90	image		(369, 153)	(14, 15)	''
91	section		(387, 148)	(164, 25)	'AdaBoost.ipynb'
92	static	AdaBoost.ipynb	(387, 153)	(94, 14)	'AdaBoost.ipynb'
93	section	Close AdaBoost.ipynb	(551, 152)	(16, 17)	''
94	image		(551, 152)	(16, 17)	''
95	push-button	New Launcher	(576, 148)	(24, 25)	''
96	image		(580, 152)	(16, 16)	''
97	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
98	image		(369, 180)	(17, 17)	''
99	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
100	image		(398, 180)	(17, 17)	''
101	section	Cut this cell (X)	(425, 178)	(21, 21)	''
102	image		(427, 180)	(17, 17)	''
103	section	Copy this cell (C)	(454, 178)	(21, 21)	''
104	image		(456, 180)	(17, 17)	''
105	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
106	image		(485, 180)	(17, 17)	''
107	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
108	image		(514, 180)	(17, 17)	''
109	section	Interrupt the kernel	(541, 178)	(21, 21)	''
110	image		(543, 180)	(17, 17)	''
111	section	Restart the kernel	(570, 178)	(21, 21)	''
112	image		(572, 180)	(17, 17)	''
113	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
114	image		(601, 180)	(17, 17)	''
115	combo-box	Cell type	(624, 176)	(98, 25)	''
116	menu-item	Markdown	(624, 176)	(98, 25)	'Markdown'
117	image		(699, 180)	(16, 16)	''
118	section	Notebook	(1582, 178)	(83, 21)	''
119	push-button	Notebook	(1582, 178)	(83, 21)	''
120	section		(1584, 178)	(79, 21)	'Notebook'
121	image		(1643, 180)	(20, 17)	''
122	static	Notebook	(1584, 181)	(60, 15)	'Notebook'
123	section	Enable Debugger	(1672, 178)	(21, 21)	''
124	image		(1675, 180)	(17, 17)	''
125	section	Switch kernel	(1701, 178)	(123, 21)	''
126	push-button	Python 3 (ipykernel)	(1701, 178)	(123, 21)	''
127	section		(1703, 178)	(119, 21)	'Python 3 (ipykernel)'
128	static	Python 3 (ipykernel)	(1703, 181)	(119, 15)	'Python 3 (ipykernel)'
129	push-button	Click to add a cell.	(438, 205)	(1391, 28)	'Click to add a cell.'
130	image		(1862, 158)	(20, 20)	''
131	image		(1862, 211)	(20, 20)	''
132	toggle-button	Simple	(94, 1258)	(88, 20)	''
133	label	Simple Interface (Ctrl+Shift+D)	(98, 1261)	(40, 14)	'Simple'
134	static	Simple	(98, 1261)	(40, 14)	'Simple'
135	section	0 1	(203, 1256)	(79, 24)	''
136	section		(203, 1256)	(8, 24)	'0'
137	static	0	(203, 1261)	(8, 14)	'0'
138	image		(220, 1261)	(21, 18)	''
139	section		(247, 1256)	(8, 24)	'1'
140	static	1	(247, 1261)	(8, 14)	'1'
141	image		(262, 1260)	(21, 18)	''
142	section	Python 3 (ipykernel) | Idle	(298, 1261)	(150, 14)	'Python 3 (ipykernel) | Idle'
143	static	Python 3 (ipykernel) | Idle	(298, 1261)	(150, 14)	'Python 3 (ipykernel) | Idle'
144	section	1 notification	(1834, 1256)	(36, 24)	''
145	section		(1834, 1256)	(8, 24)	'1'
146	static	1	(1834, 1261)	(8, 14)	'1'
147	image		(1849, 1260)	(21, 18)	''
148	section	AdaBoost.ipynb	(1725, 1261)	(94, 14)	'AdaBoost.ipynb'
149	static	AdaBoost.ipynb	(1725, 1261)	(94, 14)	'AdaBoost.ipynb'
150	section	Ln 1, Col 1	(1649, 1261)	(61, 14)	'Ln 1, Col 1'
151	static	Ln 1, Col 1	(1649, 1261)	(61, 14)	'Ln 1, Col 1'
152	section	Notebook not trusted: 1 of 5 code cells trusted.	(1607, 1256)	(33, 24)	''
153	image		(1613, 1258)	(20, 18)	''
154	section	Notebook is in Command mode	(1491, 1256)	(112, 24)	'Mode: Command'
155	static	Mode: Command	(1497, 1261)	(100, 14)	'Mode: Command'
156	section		(1564, 1175)	(297, 28)	'Would you like to receive official Jupyter news?\nPlease read the privacy policy.'
157	static	Would you like to receive official Jupyter news?	(1564, 1175)	(279, 14)	'Would you like to receive official Jupyter news?'
158	static	Please read the privacy policy.	(1564, 1189)	(178, 14)	'Please read the privacy policy.'
159	push-button	Open privacy policy	(1673, 1212)	(120, 24)	'Open privacy policy'
160	push-button	Yes	(1795, 1212)	(34, 24)	'Yes'
161	push-button	No	(1831, 1212)	(30, 24)	'No'
162	push-button	Hide notification	(1840, 1169)	(31, 30)	''
163	image		(1847, 1174)	(16, 17)	''
