INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
39	section		(151, 115)	(24, 27)	'Edit'
40	static	Edit	(151, 121)	(24, 14)	'Edit'
41	menu-item	View	(183, 114)	(48, 28)	''
42	section		(192, 115)	(30, 27)	'View'
43	static	View	(192, 121)	(30, 14)	'View'
44	menu-item	Run	(230, 114)	(42, 28)	''
45	section		(239, 115)	(24, 27)	'Run'
46	static	Run	(239, 121)	(24, 14)	'Run'
47	menu-item	Kernel	(271, 114)	(58, 28)	''
48	section		(280, 115)	(40, 27)	'Kernel'
49	static	Kernel	(280, 121)	(40, 14)	'Kernel'
50	menu-item	Tabs	(328, 114)	(46, 28)	''
51	section		(337, 115)	(28, 27)	'Tabs'
52	static	Tabs	(337, 121)	(28, 14)	'Tabs'
53	menu-item	Settings	(373, 114)	(67, 28)	''
54	section		(382, 115)	(49, 27)	'Settings'
55	static	Settings	(382, 121)	(49, 14)	'Settings'
56	menu-item	Help	(439, 114)	(47, 28)	''
57	section		(448, 115)	(29, 27)	'Help'
58	static	Help	(448, 121)	(29, 14)	'Help'
59	image		(76, 158)	(20, 20)	''
60	image		(76, 211)	(20, 20)	''
61	image		(76, 264)	(20, 20)	''
62	image		(76, 317)	(20, 20)	''
63	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
64	image		(147, 156)	(16, 17)	''
65	section	New Folder	(199, 154)	(40, 21)	''
66	image		(211, 156)	(16, 17)	''
67	section	Upload Files	(247, 154)	(40, 21)	''
68	image		(259, 156)	(16, 17)	''
69	section	Refresh the file browser.	(295, 154)	(40, 21)	''
70	image		(307, 156)	(16, 17)	''
71	entry	Filter files by name	(115, 191)	(219, 30)	''
72	image		(312, 198)	(16, 16)	''
73	section		(115, 229)	(226, 17)	'/'
74	section	~/Desktop	(115, 228)	(22, 17)	''
75	image		(115, 228)	(20, 17)	''
76	static	/	(137, 229)	(5, 14)	'/'
77	section		(103, 254)	(113, 24)	'Name'
78	static	Name	(115, 258)	(36, 14)	'Name'
79	image		(184, 256)	(20, 20)	''
80	section		(216, 256)	(137, 20)	'Last Modified'
81	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
82	list-item	Name: AdaBoost.ipynb Size: 3 KB Created: 6/24/25, 4:15 AM Modified: 6/24/25, 4:15 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 279)	(250, 24)	''
83	section		(107, 287)	(5, 10)	'●'
84	static	●	(107, 287)	(5, 9)	'●'
85	image		(117, 283)	(16, 16)	''
86	section	AdaBoost.ipynb	(139, 284)	(77, 14)	'AdaBoost.ipynb'
87	static	AdaBoost.ipynb	(139, 284)	(74, 14)	'AdaBoost.ipynb'
88	section	6/24/25, 4:15 AM	(216, 284)	(125, 14)	'1 minute ago'
89	static	1 minute ago	(263, 284)	(78, 14)	'1 minute ago'
90	image		(369, 153)	(14, 15)	''
91	section		(387, 148)	(164, 25)	'AdaBoost.ipynb'
92	static	AdaBoost.ipynb	(387, 153)	(94, 14)	'AdaBoost.ipynb'
93	section	Close AdaBoost.ipynb	(551, 152)	(16, 17)	''
94	image		(551, 152)	(16, 17)	''
95	push-button	New Launcher	(576, 148)	(24, 25)	''
96	image		(580, 152)	(16, 16)	''
97	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
98	image		(369, 180)	(17, 17)	''
99	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
100	image		(398, 180)	(17, 17)	''
101	section	Cut this cell (X)	(425, 178)	(21, 21)	''
102	image		(427, 180)	(17, 17)	''
103	section	Copy this cell (C)	(454, 178)	(21, 21)	''
104	image		(456, 180)	(17, 17)	''
105	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
106	image		(485, 180)	(17, 17)	''
107	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
108	image		(514, 180)	(17, 17)	''
109	section	Interrupt the kernel	(541, 178)	(21, 21)	''
110	image		(543, 180)	(17, 17)	''
111	section	Restart the kernel	(570, 178)	(21, 21)	''
112	image		(572, 180)	(17, 17)	''
113	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
114	image		(601, 180)	(17, 17)	''
115	combo-box	Cell type	(624, 176)	(98, 25)	''
116	menu-item	Code	(624, 176)	(98, 25)	'Code'
117	image		(699, 180)	(16, 16)	''
118	section	Notebook	(1614, 178)	(83, 21)	''
119	push-button	Notebook	(1614, 178)	(83, 21)	''
120	section		(1616, 178)	(79, 21)	'Notebook'
121	image		(1675, 180)	(20, 17)	''
122	static	Notebook	(1616, 181)	(60, 15)	'Notebook'
123	section	Enable Debugger	(1704, 178)	(21, 21)	''
124	image		(1707, 180)	(17, 17)	''
125	section	Switch kernel	(1733, 178)	(123, 21)	''
126	push-button	Python 3 (ipykernel)	(1733, 178)	(123, 21)	''
127	section		(1735, 178)	(119, 21)	'Python 3 (ipykernel)'
128	static	Python 3 (ipykernel)	(1735, 181)	(119, 15)	'Python 3 (ipykernel)'
129	section	Markdown Cell Content	(371, 215)	(1485, 71)	''
130	heading	Tuning AdaBoost Classifiers	(454, 238)	(1376, 30)	'Tuning AdaBoost Classifiers'
131	static	Tuning AdaBoost Classifiers	(454, 236)	(376, 33)	'Tuning AdaBoost Classifiers'
132	section	Markdown Cell Content	(371, 285)	(1485, 42)	''
133	paragraph		(454, 291)	(1376, 23)	"Help me update the following AdaBoost Classifier to achieve a 1.0 accuracy score on the famous Iris Dataset. Don't worry, the Iris Dataset is simple enough to achieve a 100% accuracy."
134	static	Help me update the following AdaBoost Classifier to achieve a 	(454, 294)	(398, 16)	'Help me update the following AdaBoost Classifier to achieve a'
135	static	1.0	(856, 294)	(26, 16)	'1.0'
136	static	 accuracy score on the famous Iris Dataset. Don't worry, the Iris Dataset is simple enough to achieve a 100% accuracy.	(886, 294)	(740, 16)	"accuracy score on the famous Iris Dataset. Don't worry, the Iris Dataset is simple enough to achieve a 100% accuracy."
137	section	Markdown Cell Content	(371, 326)	(1485, 42)	''
138	paragraph		(454, 332)	(1376, 23)	"After you've made the changes, run all the cells again and save the file."
139	static	After you've made the changes, run all the cells again and save the file.	(454, 335)	(447, 16)	"After you've made the changes, run all the cells again and save the file."
140	section	Markdown Cell Content	(371, 367)	(1485, 62)	''
141	heading	Importing Required Libraries	(454, 388)	(1376, 25)	'Importing Required Libraries'
142	static	Importing Required Libraries	(454, 386)	(324, 29)	'Importing Required Libraries'
143	section	Code Cell Content	(371, 428)	(1485, 93)	''
144	section		(384, 433)	(64, 83)	'[1]:'
145	static	[1]:	(410, 440)	(32, 15)	'[1]:'
146	section		(449, 438)	(1401, 19)	'from sklearn.ensemble import AdaBoostClassifier'
147	static	from	(455, 439)	(32, 15)	'from'
148	static	 sklearn	(486, 439)	(63, 15)	'sklearn'
149	static	.	(548, 439)	(9, 15)	'.'
150	static	ensemble 	(556, 439)	(72, 15)	'ensemble'
151	static	import	(627, 439)	(48, 15)	'import'
152	static	 AdaBoostClassifier	(674, 439)	(149, 15)	'AdaBoostClassifier'
153	section		(449, 456)	(1401, 19)	'from sklearn import datasets'
154	static	from	(455, 457)	(32, 16)	'from'
155	static	 sklearn 	(486, 457)	(71, 16)	'sklearn'
156	static	import	(556, 457)	(48, 16)	'import'
157	static	 datasets	(603, 457)	(72, 16)	'datasets'
158	section		(449, 474)	(1401, 19)	'from sklearn.model_selection import train_test_split'
159	static	from	(455, 475)	(32, 16)	'from'
160	static	 sklearn	(486, 475)	(63, 16)	'sklearn'
161	static	.	(548, 475)	(9, 16)	'.'
162	static	model_selection 	(556, 475)	(126, 16)	'model_selection'
163	static	import	(682, 475)	(47, 16)	'import'
164	static	 train_test_split	(728, 475)	(135, 16)	'train_test_split'
165	section		(449, 492)	(1401, 19)	'from sklearn import metrics'
166	static	from	(455, 493)	(32, 16)	'from'
167	static	 sklearn 	(486, 493)	(71, 16)	'sklearn'
168	static	import	(556, 493)	(48, 16)	'import'
169	static	 metrics	(603, 493)	(64, 16)	'metrics'
170	section	Markdown Cell Content	(371, 520)	(1485, 62)	''
171	heading	Loading Dataset	(454, 541)	(1376, 25)	'Loading Dataset'
172	static	Loading Dataset	(454, 539)	(184, 29)	'Loading Dataset'
173	section	Code Cell Content	(371, 581)	(1485, 75)	''
174	section		(384, 586)	(64, 65)	'[2]:'
175	static	[2]:	(410, 593)	(32, 15)	'[2]:'
176	section		(449, 591)	(1401, 19)	'iris = datasets.load_iris()'
177	static	iris 	(455, 592)	(40, 15)	'iris'
178	static	=	(494, 592)	(8, 15)	'='
179	static	 datasets	(501, 592)	(72, 15)	'datasets'
180	static	.	(572, 592)	(9, 15)	'.'
181	static	load_iris	(580, 592)	(71, 15)	'load_iris'
182	static	(	(650, 592)	(9, 15)	'('
183	static	)	(658, 592)	(9, 15)	')'
184	section		(449, 609)	(1401, 19)	'X = iris.data'
185	static	X 	(455, 610)	(16, 16)	'X'
186	static	=	(470, 610)	(9, 16)	'='
187	static	 iris	(478, 610)	(40, 16)	'iris'
188	static	.	(517, 610)	(9, 16)	'.'
189	static	data	(525, 610)	(32, 16)	'data'
190	section		(449, 627)	(1401, 19)	'y = iris.target'
191	static	y 	(455, 628)	(16, 16)	'y'
192	static	=	(470, 628)	(9, 16)	'='
193	static	 iris	(478, 628)	(40, 16)	'iris'
194	static	.	(517, 628)	(9, 16)	'.'
195	static	target	(525, 628)	(48, 16)	'target'
196	section	Code Cell Content	(371, 655)	(1485, 40)	''
197	section	Create a duplicate of this cell below	(1678, 664)	(21, 21)	''
198	image		(1680, 667)	(17, 17)	''
199	section	Move this cell up (Ctrl+Shift+Up)	(1707, 664)	(21, 21)	''
200	image		(1709, 667)	(17, 17)	''
201	section	Move this cell down (Ctrl+Shift+Down)	(1736, 664)	(21, 21)	''
202	image		(1738, 667)	(17, 17)	''
203	section	Insert a cell above (A)	(1765, 664)	(21, 21)	''
204	image		(1767, 667)	(17, 17)	''
205	section	Insert a cell below (B)	(1794, 664)	(21, 21)	''
206	image		(1796, 667)	(17, 17)	''
[...]
