INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
42	section		(192, 115)	(30, 27)	'View'
43	static	View	(192, 121)	(30, 14)	'View'
44	menu-item	Run	(230, 114)	(42, 28)	''
45	section		(239, 115)	(24, 27)	'Run'
46	static	Run	(239, 121)	(24, 14)	'Run'
47	menu-item	Kernel	(271, 114)	(58, 28)	''
48	section		(280, 115)	(40, 27)	'Kernel'
49	static	Kernel	(280, 121)	(40, 14)	'Kernel'
50	menu-item	Tabs	(328, 114)	(46, 28)	''
51	section		(337, 115)	(28, 27)	'Tabs'
52	static	Tabs	(337, 121)	(28, 14)	'Tabs'
53	menu-item	Settings	(373, 114)	(67, 28)	''
54	section		(382, 115)	(49, 27)	'Settings'
55	static	Settings	(382, 121)	(49, 14)	'Settings'
56	menu-item	Help	(439, 114)	(47, 28)	''
57	section		(448, 115)	(29, 27)	'Help'
58	static	Help	(448, 121)	(29, 14)	'Help'
59	image		(76, 158)	(20, 20)	''
60	image		(76, 211)	(20, 20)	''
61	image		(76, 264)	(20, 20)	''
62	image		(76, 317)	(20, 20)	''
63	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
64	image		(147, 156)	(16, 17)	''
65	section	New Folder	(199, 154)	(40, 21)	''
66	image		(211, 156)	(16, 17)	''
67	section	Upload Files	(247, 154)	(40, 21)	''
68	image		(259, 156)	(16, 17)	''
69	section	Refresh the file browser.	(295, 154)	(40, 21)	''
70	image		(307, 156)	(16, 17)	''
71	entry	Filter files by name	(115, 191)	(219, 30)	''
72	image		(312, 198)	(16, 16)	''
73	section		(115, 229)	(226, 17)	'/'
74	section	~/Desktop	(115, 228)	(22, 17)	''
75	image		(115, 228)	(20, 17)	''
76	static	/	(137, 229)	(5, 14)	'/'
77	section		(103, 254)	(113, 24)	'Name'
78	static	Name	(115, 258)	(36, 14)	'Name'
79	image		(184, 256)	(20, 20)	''
80	section		(216, 256)	(137, 20)	'Last Modified'
81	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
82	list-item	Name: AdaBoost.ipynb Size: 2.6 KB Created: 6/24/25, 4:21 AM Modified: 6/24/25, 4:21 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 279)	(250, 24)	''
83	section		(107, 287)	(5, 10)	'●'
84	static	●	(107, 287)	(5, 9)	'●'
85	image		(117, 283)	(16, 16)	''
86	section	AdaBoost.ipynb	(139, 284)	(77, 14)	'AdaBoost.ipynb'
87	static	AdaBoost.ipynb	(139, 284)	(74, 14)	'AdaBoost.ipynb'
88	section	6/24/25, 4:21 AM	(216, 284)	(125, 14)	'2 minutes ago'
89	static	2 minutes ago	(258, 284)	(83, 14)	'2 minutes ago'
90	image		(369, 153)	(14, 15)	''
91	section		(387, 148)	(164, 25)	'AdaBoost.ipynb'
92	static	AdaBoost.ipynb	(387, 153)	(94, 14)	'AdaBoost.ipynb'
93	section	Close AdaBoost.ipynb	(551, 152)	(16, 17)	''
94	image		(551, 152)	(16, 17)	''
95	push-button	New Launcher	(576, 148)	(24, 25)	''
96	image		(580, 152)	(16, 16)	''
97	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
98	image		(369, 180)	(17, 17)	''
99	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
100	image		(398, 180)	(17, 17)	''
101	section	Cut this cell (X)	(425, 178)	(21, 21)	''
102	image		(427, 180)	(17, 17)	''
103	section	Copy this cell (C)	(454, 178)	(21, 21)	''
104	image		(456, 180)	(17, 17)	''
105	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
106	image		(485, 180)	(17, 17)	''
107	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
108	image		(514, 180)	(17, 17)	''
109	section	Interrupt the kernel	(541, 178)	(21, 21)	''
110	image		(543, 180)	(17, 17)	''
111	section	Restart the kernel	(570, 178)	(21, 21)	''
112	image		(572, 180)	(17, 17)	''
113	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
114	image		(601, 180)	(17, 17)	''
115	combo-box	Cell type	(624, 176)	(98, 25)	''
116	menu-item	-	(625, 202)	(74, 16)	'-'
117	menu-item	Code	(625, 218)	(74, 16)	'Code'
118	menu-item	Markdown	(625, 235)	(74, 16)	'Markdown'
119	menu-item	Raw	(625, 251)	(74, 16)	'Raw'
120	image		(699, 180)	(16, 16)	''
121	section	Notebook	(1582, 178)	(83, 21)	''
122	push-button	Notebook	(1582, 178)	(83, 21)	''
123	section		(1584, 178)	(79, 21)	'Notebook'
124	image		(1643, 180)	(20, 17)	''
125	static	Notebook	(1584, 181)	(60, 15)	'Notebook'
126	section	Enable Debugger	(1672, 178)	(21, 21)	''
127	image		(1675, 180)	(17, 17)	''
128	section	Switch kernel	(1701, 178)	(123, 21)	''
129	push-button	Python 3 (ipykernel)	(1701, 178)	(123, 21)	''
130	section		(1703, 178)	(119, 21)	'Python 3 (ipykernel)'
131	static	Python 3 (ipykernel)	(1703, 181)	(119, 15)	'Python 3 (ipykernel)'
132	section	Code Cell Content	(371, 157)	(1453, 93)	''
133	section		(384, 162)	(64, 83)	'[1]:'
134	section		(449, 203)	(1369, 19)	'from sklearn.model_selection import train_test_split'
135	static	from	(455, 204)	(32, 16)	'from'
136	static	 sklearn	(486, 204)	(63, 16)	'sklearn'
137	static	.	(548, 204)	(9, 16)	'.'
138	static	model_selection 	(556, 204)	(126, 16)	'model_selection'
139	static	import	(682, 204)	(47, 16)	'import'
140	static	 train_test_split	(728, 204)	(135, 16)	'train_test_split'
141	section		(449, 221)	(1369, 19)	'from sklearn import metrics'
142	static	from	(455, 222)	(32, 16)	'from'
143	static	 sklearn 	(486, 222)	(71, 16)	'sklearn'
144	static	import	(556, 222)	(48, 16)	'import'
145	static	 metrics	(603, 222)	(64, 16)	'metrics'
146	section	Markdown Cell Content	(371, 249)	(1453, 62)	''
147	heading	Loading Dataset	(454, 270)	(1344, 25)	'Loading Dataset'
148	static	Loading Dataset	(454, 268)	(184, 29)	'Loading Dataset'
149	section	Code Cell Content	(371, 310)	(1453, 75)	''
150	section		(384, 315)	(64, 65)	'[2]:'
151	static	[2]:	(410, 322)	(32, 15)	'[2]:'
152	section		(449, 320)	(1369, 19)	'iris = datasets.load_iris()'
153	static	iris 	(455, 321)	(40, 15)	'iris'
154	static	=	(494, 321)	(8, 15)	'='
155	static	 datasets	(501, 321)	(72, 15)	'datasets'
156	static	.	(572, 321)	(9, 15)	'.'
157	static	load_iris	(580, 321)	(71, 15)	'load_iris'
158	static	(	(650, 321)	(9, 15)	'('
159	static	)	(658, 321)	(9, 15)	')'
160	section		(449, 338)	(1369, 19)	'X = iris.data'
161	static	X 	(455, 339)	(16, 16)	'X'
162	static	=	(470, 339)	(9, 16)	'='
163	static	 iris	(478, 339)	(40, 16)	'iris'
164	static	.	(517, 339)	(9, 16)	'.'
165	static	data	(525, 339)	(32, 16)	'data'
166	section		(449, 356)	(1369, 19)	'y = iris.target'
167	static	y 	(455, 357)	(16, 16)	'y'
168	static	=	(470, 357)	(9, 16)	'='
169	static	 iris	(478, 357)	(40, 16)	'iris'
170	static	.	(517, 357)	(9, 16)	'.'
171	static	target	(525, 357)	(48, 16)	'target'
172	section	Code Cell Content	(371, 384)	(1453, 40)	''
173	section		(384, 389)	(64, 29)	'[ ]:'
174	static	[ ]:	(410, 396)	(32, 15)	'[ ]:'
175	section	Markdown Cell Content	(371, 423)	(1453, 62)	''
176	heading	Splitting Dataset	(454, 444)	(1344, 25)	'Splitting Dataset'
177	static	Splitting Dataset	(454, 442)	(191, 29)	'Splitting Dataset'
178	section	Code Cell Content	(371, 484)	(1453, 40)	''
179	section		(384, 489)	(64, 29)	'[3]:'
180	static	[3]:	(410, 496)	(32, 15)	'[3]:'
181	section		(449, 494)	(1369, 19)	'X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.3, random_state=42)'
182	static	X_train	(455, 495)	(55, 15)	'X_train'
183	static	,	(509, 495)	(9, 15)	','
184	static	 X_test	(517, 495)	(56, 15)	'X_test'
185	static	,	(572, 495)	(9, 15)	','
186	static	 y_train	(580, 495)	(63, 15)	'y_train'
187	static	,	(642, 495)	(9, 15)	','
188	static	 y_test 	(650, 495)	(64, 15)	'y_test'
189	static	=	(713, 495)	(9, 15)	'='
190	static	 train_test_split	(721, 495)	(134, 15)	'train_test_split'
191	static	(	(854, 495)	(9, 15)	'('
192	static	X	(862, 495)	(8, 15)	'X'
193	static	,	(869, 495)	(9, 15)	','
194	static	 y	(877, 495)	(17, 15)	'y'
195	static	,	(893, 495)	(9, 15)	','
196	static	 test_size	(901, 495)	(79, 15)	'test_size'
197	static	=	(979, 495)	(9, 15)	'='
198	static	0.3	(987, 495)	(24, 15)	'0.3'
199	static	,	(1010, 495)	(9, 15)	','
200	static	 random_state	(1018, 495)	(103, 15)	'random_state'
201	static	=	(1120, 495)	(9, 15)	'='
202	static	42	(1128, 495)	(16, 15)	'42'
203	static	)	(1143, 495)	(9, 15)	')'
204	section	Markdown Cell Content	(371, 523)	(1453, 61)	''
205	heading	Building the AdaBoost Model	(454, 543)	(1344, 25)	'Building the AdaBoost Model'
206	static	Building the AdaBoost Model	(454, 541)	(329, 29)	'Building the AdaBoost Model'
207	section	Markdown Cell Content	(371, 583)	(1453, 61)	''
208	heading	Evaluate Model	(454, 604)	(1344, 25)	'Evaluate Model'
209	static	Evaluate Model	(454, 602)	(175, 29)	'Evaluate Model'
210	section	Code Cell Content with Output	(371, 643)	(1453, 65)	''
211	section		(384, 648)	(64, 29)	'[5]:'
212	static	[5]:	(410, 655)	(32, 15)	'[5]:'
213	section		(449, [...]
